Samples	SBS96A	SBS96B	SBS96C
TCGA-ZF-AA4X-01A-11D-A38G-08	543	0	241
TCGA-ZF-AA51-01A-21D-A391-08	735	69	21
TCGA-ZF-AA52-01A-12D-A391-08	60	30	62
TCGA-ZF-AA53-01A-11D-A391-08	200	8	0
TCGA-ZF-AA54-01A-11D-A391-08	156	54	1
TCGA-ZF-AA56-01A-31D-A391-08	69	51	0
TCGA-ZF-AA58-01A-12D-A42E-08	158	106	7
TCGA-ZF-AA5H-01A-11D-A391-08	22	50	6
TCGA-ZF-AA5N-01A-11D-A42E-08	12	49	0
TCGA-ZF-AA5P-01A-11D-A391-08	23	29	0
