Samples	SBS96A	SBS96B	SBS96C
TCGA-B6-A409-01A-11D-A243-09	35	10	5
TCGA-B6-A40B-01A-11D-A23C-09	36	14	0
TCGA-B6-A40C-01A-11D-A23C-09	36	3	3
TCGA-BH-A0AU-01A-11D-A12Q-09	17	2	0
TCGA-BH-A0AV-01A-31D-A10Y-09	48	14	4
TCGA-BH-A0AW-01A-11W-A071-09	63	82	21
TCGA-BH-A0AY-01A-21W-A019-09	57	15	13
TCGA-BH-A0AZ-01A-21D-A12Q-09	36	18	1
TCGA-BH-A0B0-01A-21D-A10Y-09	7	46	12
TCGA-BH-A0B1-01A-12W-A071-09	83	7	3
TCGA-BH-A0B3-01A-11W-A071-09	39	8	2
